Interval,Transfer(MB),Bitrate(MB),Retr,Cwnd(KB),RTT
510,1.16,1.16,0,131.29,106.03
511,1.15,1.15,0,132.64,106.38
512,1.16,1.16,0,139.41,104.29
513,1.44,1.44,0,146.18,102.88
514,1.44,1.44,0,152.95,105.7
515,1.45,1.45,0,170.54,102.86
516,1.44,1.44,2,140.77,105.58
517,1.45,1.45,0,167.84,102.87
518,1.75,1.75,0,182.72,105.73
519,1.74,1.74,0,189.49,105.75
520,1.72,1.72,2,143.47,104.0
521,1.17,1.17,3,115.05,104.94
522,1.16,1.16,0,129.94,103.97
523,1.44,1.44,0,138.06,103.96
524,1.16,1.16,0,139.41,102.58
525,1.45,1.45,0,140.77,108.79
526,1.16,1.16,0,147.53,103.79
527,1.46,1.46,0,154.3,103.65
528,1.16,1.16,3,129.94,103.32
529,1.44,1.44,0,146.18,102.8
530,1.2,1.2,0,154.3,105.33
531,1.49,1.49,1,120.46,106.71
532,1.16,1.16,0,140.77,105.55
533,1.19,1.19,0,152.95,105.76
534,1.46,1.46,0,155.65,106.74
535,1.46,1.46,0,155.65,105.84
536,1.44,1.44,0,155.65,103.66
537,1.46,1.46,0,159.71,104.88
538,1.74,1.75,0,170.54,105.88
539,1.16,1.16,3,143.47,106.17
540,1.17,1.17,2,113.7,103.79
541,1.16,1.16,0,125.88,104.21
542,1.17,1.17,0,129.94,106.52
543,1.16,1.16,0,129.94,103.06
544,1.15,1.15,0,136.71,103.4
545,1.46,1.46,0,143.47,105.23
546,1.17,1.17,0,150.24,103.23
547,1.44,1.44,0,161.07,102.92
548,1.45,1.45,15,90.69,105.52
549,0.88,0.88,0,105.57,103.28
550,1.15,1.15,0,110.99,103.33
551,0.86,0.86,0,110.99,105.38
552,1.17,1.17,0,117.76,105.15
553,1.16,1.16,0,124.52,105.97
554,1.16,1.16,0,131.29,103.4
555,1.16,1.16,0,138.06,103.03
556,1.45,1.45,0,165.13,103.45
557,1.44,1.44,4,140.77,103.25
558,1.45,1.45,0,165.13,104.85
559,1.15,1.15,1,129.94,105.34
560,1.45,1.45,0,139.41,106.59
561,1.15,1.15,0,140.77,103.63
562,1.19,1.19,0,140.77,102.78
563,1.45,1.45,0,147.53,105.84
564,1.46,1.46,0,155.65,103.98
565,1.46,1.46,0,162.42,105.94
566,1.49,1.49,1,132.64,105.49
567,1.15,1.15,0,151.59,103.33
568,1.46,1.46,1,117.76,106.92
569,1.15,1.15,0,131.29,102.77
570,1.21,1.21,0,136.71,102.51
571,1.15,1.15,0,136.71,102.37
572,1.45,1.45,0,140.77,106.15
573,1.44,1.44,0,147.53,105.86
574,1.15,1.15,0,154.3,102.73
575,1.74,1.74,0,163.78,104.7
576,1.44,1.44,2,131.29,102.74
577,1.45,1.45,0,159.71,102.41
578,1.43,1.43,5,123.17,104.21
579,1.45,1.45,0,139.41,104.38
580,1.16,1.16,0,147.53,102.95
581,1.43,1.43,0,148.89,103.23
582,1.16,1.16,1,119.11,105.4
583,1.44,1.44,0,136.71,109.95
584,1.16,1.16,0,146.18,103.69
585,1.44,1.44,0,148.89,103.45
586,1.18,1.18,0,148.89,106.76
587,1.44,1.44,0,148.89,104.16
588,1.44,1.44,0,154.3,106.73
589,1.47,1.47,0,166.48,103.93
590,1.47,1.47,2,128.58,105.28
591,1.55,1.55,0,158.36,105.71
592,1.46,1.46,1,120.46,103.08
593,1.17,1.17,0,136.71,103.03
594,1.44,1.44,0,144.83,103.22
595,1.45,1.45,0,146.18,106.03
596,1.15,1.15,0,147.53,104.31
597,1.44,1.44,0,154.3,106.54
598,1.45,1.45,0,161.07,103.42
599,1.46,1.46,0,167.84,103.31
